activation_day,activation_month,activation_year,locality,latitude,longitude,type,lease_type,property_size,property_age,furnishing,facing,floor,total_floor,building_type,water_supply,negotiable,cup_board,balconies,parking,bathroom,gym,lift,swimming_pool,internet,ac,club,intercom,cpa,fs,servant,security,sc,gp,park,rwh,stp,hk,pb,vp,rent
3,7,2018,Thirumalashettyhally,12.9834759,77.7755112,3.0,4,1435,0.0,1,0.0,0.0,4.0,1,1,1,4.0,3.0,3,2.0,1,1,1,1,0,1.0,0,1.0,1,1.0,1,0,1.0,1,0.0,0.0,0,1,1.0,20000.0
7,12,2018,BTM Layout,12.91627014,77.60292892,1.0,2,400,10.0,0,0.0,0.0,1.0,3,2,0,0.0,0.0,1,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,10000.0
19,8,2017,Chikkalasandra,12.91717561,77.54679294,2.0,2,800,8.0,1,0.0,1.0,2.0,3,2,1,2.0,0.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,12500.0
7,7,2017,"Yelachenahallli, Bengaluru, Karnataka, India",12.9004037,77.5712556,3.0,4,1360,2.0,1,0.0,2.0,3.0,1,2,1,3.0,1.0,3,3.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0.0,0,0,0.0,17000.0
14,12,2017,Indiranagar,12.97448255,77.63312254,6.0,1,120,5.0,1,5.0,3.0,3.0,3,2,0,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,1.0,8000.0
14,4,2018,Wilson Garden,12.94858457,77.60159785,1.0,4,650,10.0,1,0.0,1.0,3.0,3,2,0,1.0,1.0,1,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,1,0.0,9000.0
15,6,2018,Gattigere,12.91875984,77.525182,2.0,2,900,5.0,1,1.0,1.0,3.0,3,2,1,2.0,0.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,13500.0
19,1,2018,Ejipura,12.93816505,77.62890921,2.0,2,1172,16.0,1,0.0,0.0,4.0,1,2,1,2.0,1.0,3,2.0,1,1,0,1,0,1.0,1,1.0,0,0.0,1,1,0.0,1,1.0,0.0,0,1,0.0,35000.0
13,2,2018,Vijaya Nagar,12.9661428,77.5490677,1.0,2,225,8.0,1,0.0,2.0,2.0,3,1,1,1.0,1.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,1,1,0.0,1,0.0,0.0,0,0,0.0,8400.0
6,4,2018,Whitefield,12.96712395,77.73769691,2.0,2,1100,4.0,1,1.0,4.0,4.0,1,3,0,2.0,2.0,3,2.0,1,1,0,0,0,0.0,1,0.0,0,0.0,1,0,0.0,0,0.0,0.0,1,1,0.0,17000.0
27,10,2017,Byrasandra,12.9804965,77.6673131,2.0,4,1200,4.0,1,1.0,0.0,0.0,2,1,1,2.0,0.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,15000.0
28,9,2017,Kadugodi,12.99866239,77.75588273,3.0,4,1500,3.0,1,0.0,1.0,2.0,3,2,1,4.0,2.0,1,3.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,1.0,23000.0
7,8,2018,BTM 2nd Stage,12.90715158,77.60636501,2.0,4,1250,5.0,2,0.0,1.0,4.0,1,2,1,3.0,1.0,3,2.0,0,1,0,0,0,0.0,0,0.0,0,1.0,1,0,0.0,0,0.0,1.0,0,1,0.0,21000.0
17,1,2018,Vignana Nagar,12.9733535,77.68011402,2.0,4,1440,7.0,1,7.0,5.0,5.0,1,2,1,6.0,3.0,3,2.0,0,1,0,1,1,1.0,1,0.0,1,0.0,1,0,0.0,0,1.0,0.0,0,1,1.0,24000.0
3,8,2018,Tippasandra,12.97163272,77.66302467,2.0,2,1000,5.0,1,0.0,2.0,2.0,3,1,1,1.0,1.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,13000.0
27,9,2017,Bellandur,12.9206798,77.6741922,2.0,4,1465,8.0,1,0.0,5.0,9.0,1,3,1,2.0,2.0,3,2.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,0,1.0,1,0.0,1.0,1,1,1.0,32000.0
7,9,2018,Sheshadripuram,12.99414863,77.57818577,2.0,2,900,5.0,2,2.0,2.0,3.0,1,2,0,3.0,2.0,1,2.0,0,1,0,1,0,0.0,1,1.0,1,0.0,1,1,1.0,1,0.0,1.0,0,1,1.0,22000.0
24,6,2018,Cox Town,12.99365373,77.62774695,3.0,2,1500,1.0,0,4.0,2.0,2.0,1,1,1,0.0,4.0,3,3.0,0,1,0,0,0,0.0,0,0.0,0,0.0,1,0,1.0,0,0.0,0.0,0,0,0.0,30000.0
4,8,2018,Doddanakundi,12.9785885,77.6974294,3.0,4,2250,12.0,1,0.0,5.0,5.0,3,2,0,2.0,3.0,3,2.0,0,1,1,0,0,0.0,0,1.0,0,0.0,1,0,0.0,1,0.0,0.0,0,1,0.0,42000.0
19,4,2018,Banashankari,12.92514892,77.56440586,3.0,2,1900,10.0,1,0.0,0.0,2.0,3,2,1,2.0,2.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0.0,0.0,0,0,1.0,33000.0
20,10,2017,J P Nagar,12.91195143,77.58976879,2.0,4,600,6.0,1,0.0,2.0,2.0,3,1,1,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,10000.0
10,6,2017,Whitefield,12.97628941,77.74130369,2.0,2,1348,2.0,1,0.0,1.0,5.0,1,3,0,2.0,2.0,3,2.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,1,1.0,1,1.0,1.0,1,1,1.0,26000.0
17,2,2018,Kodihalli,12.9626001,77.646453,1.0,4,600,5.0,1,7.0,0.0,2.0,3,2,0,1.0,2.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,16000.0
8,5,2017,Kodihalli,12.96226809,77.64653183,6.0,2,200,1.0,2,7.0,4.0,5.0,1,3,0,1.0,1.0,0,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,10000.0
1,6,2018,Shivananda Nagar,12.97077706,77.66487749,1.0,4,500,4.0,1,0.0,1.0,1.0,3,1,1,1.0,1.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,9000.0
8,6,2017,Marathahalli,12.95278487,77.69357444,1.0,4,400,0.0,1,1.0,2.0,4.0,3,2,0,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,10000.0
30,7,2018,Prashant Nagar,12.97562498,77.53205003,1.0,2,600,1.0,1,0.0,1.0,4.0,2,1,1,1.0,1.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,9500.0
20,6,2018,Kasavanahalli,12.90418272,77.67574502,1.0,2,800,3.0,1,1.0,2.0,3.0,3,2,0,3.0,1.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0.0,0,0,0.0,9500.0
3,4,2018,HSR Layout,12.90481193,77.64045129,2.0,2,1150,1.0,1,0.0,0.0,2.0,3,3,1,1.0,0.0,3,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,16000.0
19,5,2018,Whitefield,12.9669841,77.7407821,2.0,2,1194,1.0,2,0.0,4.0,4.0,1,2,1,3.0,2.0,3,2.0,1,1,0,0,1,1.0,1,1.0,0,0.0,1,0,0.0,1,1.0,0.0,0,1,1.0,26000.0
5,9,2018,Marathahalli,12.95315697,77.70973516,2.0,4,1500,5.0,1,0.0,2.0,4.0,3,1,1,1.0,4.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,1.0,16000.0
22,7,2018,Dooravani Nagar,12.9996889,77.6662679,3.0,4,1590,1.0,1,7.0,4.0,10.0,1,2,1,10.0,1.0,3,3.0,1,1,1,1,0,0.0,1,0.0,1,0.0,1,1,0.0,1,0.0,0.0,1,1,0.0,40000.0
13,12,2017,Koramangala,12.93617649,77.62077816,1.0,2,450,5.0,0,0.0,0.0,2.0,3,1,1,1.0,0.0,1,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0.0,0,0,0.0,14000.0
4,3,2018,"Laxmi Sagar Layout,Mahadevapura",12.9884164,77.6895542,3.0,2,1431,5.0,2,1.0,9.0,14.0,1,2,1,2.0,2.0,3,2.0,1,1,1,0,0,1.0,1,1.0,1,0.0,1,1,0.0,1,1.0,1.0,1,1,1.0,38000.0
25,7,2018,HSR Layout,12.91850814,77.64740614,1.0,1,448,5.0,1,1.0,3.0,3.0,3,1,1,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,14000.0
8,3,2017,Raja Rajeshwari Nagar,12.91952785,77.51145074,2.0,2,1250,5.0,1,1.0,1.0,2.0,3,1,1,2.0,1.0,2,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,10500.0
1,7,2018,"Pulkeshi Nagar,Pulikeshi Nagar",12.9954943,77.6067362,2.0,4,1250,20.0,1,7.0,1.0,5.0,1,2,1,2.0,3.0,1,2.0,0,1,0,0,0,0.0,0,1.0,0,0.0,1,0,0.0,1,1.0,0.0,0,0,0.0,23000.0
12,6,2017,Jayanagar,12.9355631,77.5894514,2.0,4,750,25.0,1,1.0,0.0,5.0,1,1,1,4.0,1.0,3,2.0,0,0,0,1,0,0.0,0,0.0,1,0.0,1,0,0.0,0,0.0,0.0,1,1,0.0,23000.0
1,8,2018,Domlur,12.95673189,77.64242111,2.0,1,800,5.0,1,0.0,1.0,2.0,3,1,1,4.0,1.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,20000.0
23,1,2018,RR Nagar,12.91873071,77.5016751,1.0,2,550,0.0,1,0.0,4.0,4.0,3,2,0,1.0,1.0,3,1.0,0,1,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,9000.0
17,12,2017,HSR Layout,12.91786381,77.64512062,3.0,4,2100,8.0,1,0.0,1.0,2.0,3,2,1,3.0,1.0,3,3.0,0,0,0,1,0,0.0,0,1.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,40000.0
23,7,2018,Srirampura,12.99590611,77.56461881,1.0,2,450,0.0,1,0.0,0.0,2.0,2,1,1,1.0,1.0,0,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,1.0,0,0,0.0,8000.0
6,1,2018,Chikkalasandra,12.90873405,77.54837381,2.0,2,1500,16.0,1,0.0,1.0,2.0,3,2,1,1.0,0.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,9500.0
17,10,2017,Basaveshwar Nagar,12.98312615,77.53809247,2.0,2,800,8.0,1,0.0,2.0,2.0,3,2,1,2.0,1.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,14000.0
22,8,2017,Sudhama Nagar,12.95346356,77.59302909,1.0,4,700,1.0,1,4.0,2.0,2.0,3,2,1,1.0,1.0,0,1.0,0,0,0,0,0,0.0,1,1.0,0,1.0,0,1,0.0,0,0.0,0.0,0,0,0.0,12000.0
21,6,2018,Kadugodi,12.9948372,77.76300687,1.0,2,750,0.0,1,1.0,0.0,3.0,2,2,1,1.0,1.0,2,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,1,0.0,1,0.0,0.0,0,0,0.0,8000.0
7,8,2018,Nagondanahalli,12.9701443,77.7668229,2.0,2,1175,1.0,1,1.0,3.0,3.0,1,3,1,2.0,1.0,2,2.0,1,1,1,0,0,1.0,1,1.0,1,0.0,1,0,0.0,0,1.0,1.0,1,1,1.0,17000.0
7,3,2018,Bommanahalli,12.9049439,77.6193591,2.0,2,1251,3.0,1,0.0,3.0,5.0,1,3,1,2.0,3.0,3,2.0,0,1,1,1,0,1.0,1,1.0,1,0.0,1,1,0.0,1,1.0,1.0,0,1,1.0,20000.0
4,4,2018,BTM Layout,12.92140163,77.60363202,2.0,2,1000,1.0,1,0.0,1.0,8.0,1,1,0,2.0,1.0,1,2.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,1,0.0,18000.0
31,7,2017,New Tippasandra,12.97210593,77.64978066,2.0,2,600,15.0,0,4.0,0.0,2.0,3,2,0,0.0,0.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,15000.0
27,4,2018,Kumaraswamy Layout,12.90827484,77.56404962,2.0,4,1000,15.0,0,0.0,2.0,3.0,3,1,1,0.0,1.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,15000.0
22,1,2018,"Chandana,",12.9394677,77.692292,3.0,2,1800,11.0,1,0.0,0.0,4.0,1,2,0,3.0,3.0,3,3.0,1,1,1,0,0,1.0,1,1.0,0,0.0,1,0,0.0,0,1.0,0.0,0,0,0.0,27500.0
6,10,2018,Adugodi,12.94269706,77.60905257,1.0,1,500,4.0,1,0.0,2.0,3.0,3,1,1,1.0,1.0,1,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,9000.0
22,4,2018,BTM 2nd Stage,12.90679027,77.60800428,2.0,2,780,10.0,1,7.0,1.0,1.0,2,1,1,2.0,0.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,15000.0
25,6,2018,Banashankari,12.92646474,77.55099226,2.0,2,900,15.0,1,7.0,0.0,1.0,3,2,0,2.0,0.0,3,2.0,0,0,0,1,0,0.0,0,1.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,16000.0
10,11,2017,"Rainbow Drive,Halanayakanahalli",12.9088006,77.6842281,3.0,4,1600,6.0,1,4.0,0.0,4.0,1,2,0,3.0,1.0,3,3.0,1,1,1,1,1,1.0,1,1.0,1,1.0,1,1,1.0,1,1.0,1.0,1,1,1.0,45000.0
26,7,2018,C V Raman Nagar,12.99240944,77.66336392,3.0,4,1600,10.0,1,7.0,2.0,5.0,1,2,1,3.0,2.0,3,2.0,1,1,1,0,0,1.0,1,1.0,1,0.0,1,0,0.0,1,0.0,0.0,1,1,1.0,30000.0
